cell_name	average_expression	binary_call	time_point_expression
AB	-770	0	-1419,14,-906
ABa	-1169	0	-594,884,-750,-553,-1814,-1745,-1627,-1534,-2467,-1487
ABal	-1794	0	-1907,-2002,-363,-1611,-2072,-1523,-1651,-2408,-2404,-1930,-2054,-1605
ABala	-1496	0	-662,-461,-1342,-605,-420,-1958,-3449,-1642,-1772,-852,-2668,-1917,-1701
ABalaa	-1176	0	134,-1033,-56,-2312,-1789,-1648,-2479,-89,-1773,-1094,-2020,-1129,-925,-1076,-1999,-1421,-57,-1724,-445,-577
ABalaaa	-1084	0	-3284,-1137,-310,-2208,1757,-1863,-745,-520,908,117,-117,-1885,-428,770,-935,-1774,-1618,-610,-2370,-3543,-3180,-863
ABalaaaa	-379	0	2055,621,3266,-1515,493,-2601,1694,373,-594,3,535,-1994,-691,-1047,-274,590,-1747,-106,-1656,-230,-1849,-1810,-714,-854,-312,-664,-1169,-1804,3109,-1089,-1900,-247
ABalaaaal	-889	0	-670,-262,1143,-2021,138,-569,-3070,253,-549,-1870,2834,-1399,-450,1467,-520,-2429,-738,-4396,-2815,-132,-4268,-176,-1679,1232,-2318,1860,-3356,-1694,-525,841,-503,320,-1535,-833,-897,-1846,-1468
ABalaaaala	-290	0	-1187,1114,-3551,-1018,-2868,4080,502,-3296,2066,-1290,1711,-5087,2983,2109,-2787,-732,-131,60,1084,-2678,2823
ABalaaaalp	210	0	-4232,2070,-2336,940,3272,225,34,-1176,6468,1137,-9,453,3917,840,-2341,-1506,776,-1199,-110,-564,-2249
ABalaaaar	-797	0	-1460,1771,-1627,1843,-1041,3494,498,-985,-177,-5361,-212,-2886,-829,592,125,1939,-2098,763,1567,-3468,-210,-2713,-3502,1289,-2281,-776,-2236,646,1554,1277,-679,-379,-6518,-1716,-2582,-2519,-602
ABalaaaarl	-1369	0	-3679,-1353,-389,-1139,-5433,-1554,268,631,990,-2427,-3335,-5410,-1270,-573,-304,3513,-1121,2417,-4989,-1313,-2272
ABalaaaarr	-2899	0	1694,-4014,-2878,-2462,-3082,-7081,-751,-6026,1741,-2783,-6762,-3505,-2428,-1623,-3874,-3413,-1913,-1325,-5141,-4083,-1178
