cell_name	average_expression	binary_call	time_point_expression
ABa	-1990	0	-2654,-1543,-3534,-820,-1401
ABal	-2458	0	-1836,-2925,-1120,-2480,-3073,-3336,-3720,-2790,-2889,-1942,-1528,-1863
ABala	-1829	0	-2119,-2332,-3393,-2479,-1209,-1393,-1217,-2052,-3300,-1221,-229,-1458,-1376
ABalaa	-510	0	-1140,-892,-777,-467,-1428,-2318,383,-540,-870,-595,-631,-1517,-657,-1223,-80,-1210,1487,1783,-94,1536,-1464
ABalaaa	61	0	-87,867,-1368,-1395,445,797,-683,560,237,-1165,1395,648,-601,586,1051,855,727,-641,1231,-981,-22,-1188,126
ABalaaaa	319	0	-223,-2834,1907,607,180,-1217,1429,1680,716,2273,-1020,-794,2306,99,482,-2010,1049,705,1396,1567,1760,-324,-313,102,695,86,-1036,226,-2141,374,1557,1893,-1099,755
ABalaaaal	-660	0	-4171,-3421,1581,-2573,1612,2176,-1457,5306,-4334,-2363,-3042,1162,-514,1352,-283,-406,-3213,-1017,-2829,-3123,1513,-14,-2084,-2222,1696,-1333,-2573,1761,97,1160,-245,-3189,2079,-1173,2208,-1873
ABalaaaala	512	0	-3429,714,-1094,2514,2158,-910,3131,-863,1511,722,4023,-812,2463,507,1034,1299,1409,-145,-2638,928,4838,3716,-4629,1072,-3079,-1133
ABalaaaalp	265	0	3607,1019,2757,3406,-3670,-2874,3916,3305,-1188,508,-3733,1568,-506,2250,1258,-620,1977,166,-1463,-1591,967,-1442,-1398,-264,-1679,620
ABalaaaar	-531	0	1479,3201,-2133,1966,-3063,-574,-1437,1760,328,-2454,483,-3694,-865,-2500,36,2443,-1630,831,-2442,59,406,-1509,-4945,-1684,-680,-2284,2080,546,5968,-1373,-24,338,-904,-1113,-2648,-3075
ABalaaaarl	-1172	0	-1081,-12,2938,-3998,-699,3623,-4001,-601,1692,-4705,-6262,-1602,-2800,-2278,-132,761,-2247,-2563,-2205,1623,-2657,133,-1906,-1142,-1104,758
ABalaaaarr	106	0	3266,4446,5222,2695,822,-1447,-1932,2925,2132,-3735,-4657,708,122,-1642,2349,-1516,-1348,-599,-3698,-200,69,-488,-650,314,-1197,791
ABalaaap	-704	0	-1891,-2555,-864,-1177,617,1049,1677,928,977,261,782,2698,-2280,-859,1423,121,-1259,-234,-1529,-2206,-235,-1641,-488,-3110,-740,-1843,-2527,-2646,-2860
ABalaaapa	-1061	0	-618,-1860,-1383,-1757,-4805,27,-2373,-1094,-1489,2299,208,-1856,454,-904,-2603,-2382,-823,-2506,1195,-4598,1793,-1877,379,994,1172,1326,-2358,-1912,-5393,-3897,-72,383,-173,-2061,-2384,2279,-948,-710
ABalaaapal	-746	0	-538,209,-4465,2334,169,2357,-1795,-1743,-4057,2224,4602,-1465,-5314,-6080,-542,1678,2296,1231,152,426,-1169,-2174,513,-2464,235,-1803,-3048,-281,-3121
ABalaaapar	-466	0	-1265,-343,4324,3288,-2827,43,2180,-22,-908,-2056,-914,3333,-3010,-1979,1283,-2729,272,-176,-142,-1540,-3966,-154,2495,296,-2948,1881,-3942,-1454,-2530
ABalaaapp	-913	0	-900,-305,-3574,-1988,-2870,-1011,-1648,687,-99,-2809,454,-2214,-742,-1772,-2843,-1161,-682,-1018,582,-888,-772,-1720,-629,-4036,1915,-536,-1444,683,-973,-2149,-2062,-181,-1059,1601,556,2750
ABalaaappl	-804	0	-1672,793,-2901,-153,920,-1645,-3321,502,-3659,1010,136,-1590,341,-3990,110,1253,4095,-675,-2747,-781,-1410,1714,-171,2322,1132,-678,-1372,-2072,-4933,-2010,-3466
ABalaaappr	-937	0	1969,2109,1372,3662,-2236,-1514,-4261,-616,1016,1087,-1349,-505,-3940,-1882,1948,-3314,-2761,-4903,-2849,-3625,-3292,1335,-4526,2812,-3331,150,-2189,-557,-746,2046,-151
ABalaap	-96	0	1694,-3183,1285,-1066,1448,462,1622,-1102,257,88,161,-443,-224,-13,205,-291,1241,-736,986,-41,283,-725,-1475,-2739
ABalaapa	-193	0	438,-1992,432,814,-1510,2194,-6,863,134,-3632,2329,-559,-841,-500,-2931,-453,-1215,97,215,1162,893,418,-2096,1395,973,-1923,390,-1046,381,-12,-864,-170,-1022,1068
ABalaapaa	-551	0	461,638,595,-612,-15,3484,-1029,-366,-1167,527,1612,1162,-2154,-366,23,1109,-437,2492,-2081,-969,545,-1524,89,-3323,3793,-395,-1767,1509,-1073,-2152,-2026,-2987,-359,-1681,-2562,-3751,-2495,-1838,-2396
ABalaapaaa	770	0	1889,-27,-1535,4632,2271,-2988,2335,2463,946,-629,1012,1997,1684,1006,-1458,-613,67,1918,-4161,5324,1258,-454
ABalaapaap	683	0	1947,371,342,1933,-982,-68,1597,-530,5479,2369,67,-2441,-975,-644,-930,211,-325,-3096,6696,2278,992,730
ABalaapap	-491	0	-1586,-3935,-1254,-1176,4635,1106,1416,1819,1587,337,1156,-1376,-153,-762,1647,-2162,-794,831,-740,-275,-227,-2454,-1629,-1890,-995,-2795,1111,-1947,1722,-1764,-1766,-660,-1293,-442,-1915,1217,-3112,1207,-1853
ABalaapapa	1054	0	6128,-1504,-1621,4776,-2451,2077,3159,-2131,-1783,-209,-68,2000,4159,-729,3322,3318,1505,441,-372,-3075,1752,4497
ABalaapapp	-150	0	2284,-3676,3206,3691,854,765,-2130,-792,-249,-2071,-3473,-873,145,-2138,-1169,1764,-633,1755,3488,-1837,-112,-2088
ABalaapp	-311	0	-899,-1628,-84,2063,174,122,2775,-1103,-566,-2269,-3032,1175,-1393,4065,292,-2857,-292,-3,997,-395,560,-1391,-9,-1063,309,-348,-2435,-1486
ABalaappa	-458	0	2070,-1237,-853,-154,-1999,-2916,-1256,1003,474,2354,-321,-442,1803,971,-51,-2175,-2734,31,3414,-2492,3020,-3011,-1518,-4007,-1579,-379,-1675,184,-1496,-179,1923,-1318,45,547,-2236,-798,-1628,515,233
