cell_name	average_expression	binary_call	time_point_expression
AB	-807	0	-1514,-1290,-1495,224,40
ABa	-956	0	-1492,-518,-1538,-52,-1376,-827,-61,-2518,-915,-263
ABal	-1230	0	-1004,-1499,-2248,-1494,-652,-625,-1155,-1550,-1361,-1353,-586
ABala	-978	0	-142,-630,-1110,-424,-1115,-1239,-1305,-1489,-1216,-1535,-1640,-152,-717
ABalaa	-394	0	-1829,-892,1035,-1567,-274,28,-462,-29,236,-478,-1261,-397,-855,-629,-1596,957,675,-855,-984,1299
ABalaaa	-1351	0	-814,-726,-3315,-140,-3750,-787,-992,-1005,-2782,-864,-2660,-1795,-1153,370,-1765,-2013,-2191,-1738,-945,255,734,-2568,-437
ABalaaaa	-814	0	-1220,-9,-1276,-729,559,828,-1388,-606,-819,127,1690,-1938,-1197,-4174,835,-358,-3554,-1576,-386,-271,2132,-2278,-53,-3146,-1672,766,-1029,864,-3741
ABalaaaal	-1462	0	-906,380,-434,-661,-3225,647,-1052,-2027,-4299,-816,-791,-4388,-1509,-3103,-231,-2308,310,-2683,-3130,524,-5379,429,-1369,-440,-2676,-2104,248,-2658,1045,-1971,-299,-1390,-2370,30,-2573
ABalaaaala	-1135	0	-3330,-2213,1625,-2666,-855,-2854,-2305,1864,-3828,2534,3106,3581,582,-4841,-2983,-2127,-4532,-3750,-4162,-4416,237,2044,2973,-920
ABalaaaalp	-933	0	-4468,2211,-5850,2826,2579,962,-1686,-3629,-1256,-2012,3227,-6132,-1083,1068,-480,1492,-507,-3996,-2288,862,1203,-2696,-1670,-1066
ABalaaaar	-1352	0	-984,-1831,476,2613,-1202,-1612,-2764,-2212,-683,621,-463,-1223,-2234,-693,-3360,-2251,-3570,-3605,-3544,-989,1000,-3219,2598,-650,-214,-2202,-1296,-2933,-942,-97,-2270,-4333,-637,-1245,-1313,-2113,-1155,-845
ABalaaaarl	-193	0	-3009,-391,-2251,2374,48,-2048,546,-5638,-1856,-6134,-3447,544,1907,3281,-3058,-3414,4596,6765,2717,736,3686
ABalaaaarr	-900	0	1690,-2311,-1581,-5277,188,-4078,-1246,571,-5970,-278,-2271,-619,3340,-61,556,605,-964,-4222,383,-833,3468
ABalaaap	-762	0	-676,-1314,-269,-1792,-1697,845,-989,736,-3985,-3725,-494,-499,282,-834,-2751,-3312,69,109,-895,-148,2852,-2697,589,-152,943,-6
ABalaaapa	-979	0	-2532,-259,-1285,-2514,1908,-3019,-4937,-2413,-902,-324,-272,-2266,596,-1824,2742,-1469,1707,-2144,750,17,-151,-1252,-2749,-2821,-2837,-963,-3258,-1294,-2867,3743,-523,1950,975,-1794,-643,-1587,-1720
ABalaaapal	-1078	0	-3265,-5204,-4788,-764,-361,2,39,-824,-69,698,2103,1711,-723,-809,932,879,-6526,-1805,-1775,-1264,1789,-4655,-738,-2414,876
ABalaaapar	-1193	0	-2215,3157,-3786,3182,-3589,-154,-1390,1858,-2236,1865,-1441,-845,-3520,-462,-3364,-228,-2537,-1428,-2915,-1007,-2973,-3777,-1078,-2280,1326
ABalaaapp	-377	0	-392,-1557,-233,957,128,-3603,-1130,-1231,-557,1652,-1242,31,612,2058,2305,-150,476,-201,-566,3526,-2153,-1451,-2118,215,-568,-366,-2868,1839,-3686,267,-1665,637,-363,-417,-1388
ABalaaappl	-683	0	-1154,620,-685,1724,1015,-1285,-2710,-2476,-1524,947,-1318,-959,-1551,-139,-357,513,2992,1641,-1255,-4194,-676,-4459,-357,2222,-2166,-1650,-1208
ABalaaappr	6	0	1778,561,3475,-409,-1597,1824,895,-2737,1650,-942,-619,936,-1130,2210,150,719,1064,4655,-5160,1019,577,-4341,-537,127,697,-1376,-3337
ABalaap	-692	0	-3522,-345,-2179,-1978,450,-492,-131,-589,-1475,2038,-1052,514,1389,-1507,695,-1517,-1923,-1600,-1493,-2074,1690,-578,-243
ABalaapa	-162	0	1927,385,-439,-372,-612,-530,136,3051,-2339,218,1136,799,404,-228,-1092,1520,1575,-1952,-368,-786,-773,-836,2094,-402,-870,-740,-94,334,-1141,-2834,-2179
ABalaapaa	-170	0	-2620,-1660,-1242,767,-1494,349,-1610,3474,-4,-1910,923,-260,-2512,720,885,-2574,-220,-775,-1242,721,821,3038,2009,143,1447,-694,-1041,-1219,398,2390,-1996,-460,-645,-20,-490,-2593,3870,649,-1951
ABalaapaaa	-544	0	952,-2241,-669,-820,1447,-795,1194,-2107,-1753,1491,-41,-198,-2633,-1419,-2069,2438,2413,-4988
ABalaapaap	-658	0	-18,964,731,329,1741,-1029,-3459,-845,-1007,-3102,79,-3904,-1801,-260,-1964,757,1071,-136
ABalaapap	156	0	-288,688,-1361,-179,2078,1724,-797,591,1016,2689,1255,1254,-2988,126,3749,-9,1810,-470,-25,-836,910,-1083,-1158,-511,-1217,-3882,766,155,-917,725,-203,2008,-363,264,579,-1943,537,401,1004
ABalaapapa	401	0	-538,-2750,3236,-541,981,3706,-609,3973,-163,-525,202,1976,968,-36,-254,313,507,-3226
ABalaapapp	1088	0	622,-4594,203,3501,1950,1200,3573,-746,2653,1440,-1136,1031,381,4754,1949,621
ABalaapp	-728	0	2492,-303,-1950,88,217,-718,-508,-7,2379,-2216,1678,-2512,-2333,-4632,-896,397,2806,-1274,-2532,-957,-1151,-1628,-3904,427,-1626,-1654,651
ABalaappa	-570	0	-2821,-1854,331,-1318,2126,1602,-336,1512,2322,-2815,692,-360,2366,1377,-163,325,-965,-4276,-556,1998,-964,-2523,-1645,-2500,-2230,-4292,-749,-1261,1982,-839,-847,-373,619,-2716,160,-2817,479,-2477,1585
ABalaappaa	-545	0	-2333,715,-1460,1343,-950,264,1186,-3637,-2857,1721,914,-102,-4423,-5147,-1645,-2036,37,-2721,1342,6266,-293,1817
ABalaappap	-8	0	1803,1996,1760,2017,4051,2837,397,-3390,490,505,4467,-3665,-1349,109,1440,-4265,-2198,-1025,-1060,-1693,-1811,-1598
ABalaappp	-869	0	-3567,2110,2238,-4284,563,-1480,-2179,-75,-2449,-1944,-884,973,-5372,-822,-1638,-206,364,-3957,577,-2692,574,-3126,-1320,-1522,-185,100,1050,2380,-2257,-1578,732,693,-2125,1765
ABalaapppa	84	0	2253,-768,-177,385,1487,-1596,-1765,1344,1885,4227,-105,612,-1730,636,-654,274,-2520,-1936,-2313,273,2606,-2215,98,812,1427,1751,-2019
ABalaapppp	-711	0	4636,225,-1466,-407,140,-2683,1566,-1358,-1371,-47,1107,-1871,-486,-1893,-1257,-1049,2848,-1511,890,-1489,-868,-1572,-1882,-2562,-3365,-855,-2616
ABalap	-1490	0	-1698,-786,-2385,-969,-1888,-1973,-780,-1164,-1183,-1845,-1997,-1311,-1558,-1396,-901,-2110,-2205,-822,-1334
ABalapa	-1172	0	-2191,-627,1285,-1917,-3035,719,-1792,-1027,-336,-1398,-3331,-195,-787,435,-2599,-1208,-2039,-2936,150,-958,-2122,-2852,1815
ABalapaa	-624	0	-3097,-134,-1866,2391,-2758,478,-338,-1971,641,588,1263,-1137,356,201,583,-594,-1003,-318,-1644,-870,-1449,-1749,-169,-706,814,-1534,-475,-2986
ABalapaaa	-579	0	-509,706,910,-1522,1854,927,537,-784,-1518,-1301,-355,105,-1253,-1637,-1775,-2621,569,666,-1278,387,-278,-858,1629,-3275,343,3130,1509,-510,-1320,-1799,-692,-2532,-2211,-3578,702,-2025,1674,-1501,-251,-3414
ABalapaaaa	190	0	-621,-468,2264,1225,-1950,732,1200,4071,5407,1279,-438,-996,243,-938,-929,-2299,100,-2528,-1759,302,93
ABalapaaap	-1732	0	-79,-2581,-508,-2796,-833,-5613,164,-2376,-2750,-4378,254,-1240,541,-853,-4053,-4145,-2665,751,-769,-629,-1807
ABalapaap	-1281	0	-1298,-563,-2876,-2702,762,380,-1905,-2320,-2225,1139,57,-3439,-2540,-1002,-2907,-1412,132,-990,-2730,-3606,-1284,121,-5893,-2321,879,-3653,642,-750,1163,-2971,-1088,-1045,-639,-1051,1426,-2731,-605,-344,216
ABalapaapa	-1021	0	-107,-3723,-2849,173,1288,-5604,-1313,-4412,1343,-892,511,927,-926,-2560,-201,477,-4715,-321,78,956,-722,121
ABalapaapp	-1176	0	1608,-1576,-1457,-1411,-4356,-2370,-1176,-2239,-3533,-252,1716,-1528,-550,-1333,-1042,-1451,421,-342,1702,839,-3261,-4283
ABalapap	-1135	0	-618,-1029,-930,-2357,-3704,-3065,-1371,-1994,-3265,-800,1667,-862,795,1475,-1253,-1134,-2476,-1165,-2849,323,-2342,-2509,-1285,-235,-1064,838,567
ABalapapa	-1666	0	-252,-824,-2232,-2661,-65,-831,789,-2772,-1743,117,-301,-2562,-2744,-1726,-464,-4339,-865,-2333,-1737,-4492,-4060,-2091,-1413,231,-1497,-2401,887,-118,-1807,-572,-2610,-1270,-709,-4508,-1094,211,-3820,-782,-1248,-3483,-2288,-4493,-651
ABalapapaa	-1251	0	1018,-152,-1638,-2581,-2866,-4433,-811,-3287,-1990,1866,992,-3075,1155,-877,-5382,-3530,-1390,2681,533
ABalapapap	-831	0	-658,90,667,-1095,2160,3009,-2250,-1844,-2627,-1106,-4098,-2229,-811,1100,984,-679,-289,-2889,-3224
