cell_name	average_expression	binary_call	time_point_expression
ABa	-3369	0	-3369
ABal	-1850	0	-441,-1381,-2491,-3731,16,-1290,-1370,-3458,-1926,-1649,-1877,-2602
ABala	-2087	0	-1872,817,-2396,-3742,-2908,-2699,-1806,-1405,-2435,-3226,-2958,-919,-1577
ABalaa	-1823	0	-2908,-5414,-2453,-2494,-2538,-1795,-1572,-2230,-2639,-1435,-876,-1120,-911,-889,-872,-962,-1708,-128,-1691
ABalaaa	-720	0	-1607,2152,-1572,-1303,2,-942,-1113,-1710,-1096,750,798,-1889,1693,-1706,-741,-1,-3917,-978,-418,-243,957,-2489,-1187
ABalaaaa	-879	0	-1203,-1158,-1977,1091,2520,-2404,238,1479,-2317,1537,149,-2197,-2874,-3297,791,-754,-740,-439,-4277,974,-1260,-2046,-526,-1275,-1683,-427,-3767,300,-1138,653,467,-1522,-1915
ABalaaaal	-922	0	-2577,-2728,-3967,1515,2420,-2868,-2276,-2047,1503,-1096,-1289,-2721,-1605,-298,-3441,1916,-1143,-930,-860,-1007,1405,-1470,773,2210,-2054,-4146,-2803,-787,-766,-1726,240,-1040,281,2020
ABalaaaala	-427	0	941,2408,-1611,-3241,1419,-1235,-1910,-6699,-1489,-2330,882,2987,169,623,-1378,-4210,1153,388,5364,-775
ABalaaaalp	-951	0	-1763,-1775,-1494,-2529,1245,-2653,-2290,1360,-4993,2697,-4816,2335,2181,172,2650,-252,-600,-2130,-1434,-4935
ABalaaaar	-608	0	15,-2222,-1555,-1425,250,3176,-914,106,993,-107,-179,-3271,-2380,205,-1499,839,-1311,1912,-1987,-2516,-1382,-600,-2494,-727,-1502,1539,1017,-1446,-992,-946,-1022,1805,-1678,-2488,723,157
ABalaaaarl	-529	0	2145,-2563,1033,-1333,-1964,-1437,976,1219,-5587,-867,-245,478,521,-2368,1197,499,2343,-3572
ABalaaaarr	-1603	0	-2617,-2176,-1937,-3591,356,-1919,-2654,-4232,-1143,-413,-2865,172,-1561,-2186,838,-704,-1115,-1107
ABalaaap	-1424	0	-3316,-2913,-3732,-1589,-4261,1314,-3503,1805,-1905,-2820,1195,-1263,-192,-1994,-2638,-2192,-2813,-2318,-1475,234,-2595,1210,122,-926,257,-2585,450
ABalaaapa	-1276	0	-3058,-2573,-2447,-1810,1458,2763,270,-737,471,-3233,282,433,-1683,-1170,-68,-1867,-1836,-2320,2361,-38,-1685,-604,-1951,-1350,-2957,-2361,157,-671,-1853,-3551,-3316,-4554,-794,-2726,-1639
ABalaaapal	-1297	0	-2042,-955,166,503,1387,-651,452,-2332,-2680,301,2050,575,-5282,-3245,-6332,-4540,64,-3452,-207,-450,-3024,-790,-6636,1347,3347
ABalaaapar	-1003	0	465,-3791,-4266,-359,-2596,-822,-1986,-2995,-3434,-600,4538,-2399,1901,1887,-742,755,-1610,-2984,767,-2123,1016,955,-3786,-3347,470
